target,log_duration_month_std,log_age_std,log_credit_amount_std,installment_rate_std,duration_residency_std,number_of_existing_credits_std,number_of_people_to_provide_maintenance_std,status_existing_checking_category,credit_history_category,saving account/bonds_category,employment_duration_category,status_sex_category,other_debtors_guarantors_category,property_category,housing_status_category,job_category,phone_category,is_foreign_worker_category,purpose_A40,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A49,installment_A141,installment_A142,installment_A143,purpose_A48
1,1.3144120124831309,-0.9565862535639914,0.9837086748036415,0.825536289068637,-0.6812973924017395,1.0428153264811215,-0.38575837490522985,3,3,0,2,2,0,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.5924523471322648,0.6978774310218471,-0.5044981357435868,0.825536289068637,-1.5697460189796835,1.0428153264811215,-0.38575837490522985,3,4,3,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.08021381266550687,-1.0855641588611724,0.16997905074167166,0.825536289068637,-1.5697460189796835,-0.7382763373317672,-0.38575837490522985,0,2,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1.5888883385496577,1.5072897333791715,1.9931206820549188,-1.8902904800832991,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,1,1,0,0,2,0,3,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,-0.6417458526853592,1.1274238661375737,-0.9566671968336552,0.825536289068637,1.0955998607541484,1.0428153264811215,-0.38575837490522985,1,2,0,2,1,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,-1.8759440525029831,0.7734788075910262,1.0597075015542687,-1.8902904800832991,0.20715123417620449,1.0428153264811215,2.5922962793631443,0,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.6417458526853592,-0.4859969762374726,-1.555860320470195,0.825536289068637,-0.6812973924017395,1.0428153264811215,-0.38575837490522985,3,2,0,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,-0.6417458526853592,0.7734788075910262,-0.8698457345693045,0.825536289068637,1.0955998607541484,-0.7382763373317672,-0.38575837490522985,3,4,2,2,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.6417458526853592,1.566543859820948,-1.7412989789513378,0.825536289068637,1.0955998607541484,-0.7382763373317672,-0.38575837490522985,3,4,0,4,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,-0.9663824428555255,0.8473811321743694,-0.7302093605208735,0.825536289068637,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,3,2,4,4,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.5924523471322648,1.446948314798069,-0.4327557758384415,0.825536289068637,1.0955998607541484,1.0428153264811215,2.5922962793631443,3,4,0,4,2,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1.3144120124831309,-0.4859969762374726,1.8108345905659402,-1.8902904800832991,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,3,2,0,2,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,1.3144120124831309,-0.8324766171728206,0.24587753906025447,0.825536289068637,-0.6812973924017395,1.0428153264811215,-0.38575837490522985,3,0,0,2,2,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,-0.6417458526853592,-0.37816715054698286,-0.3177278794969744,-0.07973930064867503,1.0955998607541484,-0.7382763373317672,-0.38575837490522985,3,2,0,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1.3144120124831309,-0.7128810721499431,0.5879187363892979,0.825536289068637,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,3,2,0,2,1,0,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,-0.6417458526853592,0.29137107699828607,-1.553912202049931,-0.985014890365987,0.20715123417620449,-0.7382763373317672,2.5922962793631443,0,2,0,2,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0.08021381266550687,-0.4859969762374726,1.3604676776099283,-0.985014890365987,-0.6812973924017395,1.0428153264811215,-0.38575837490522985,1,2,1,2,2,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.24442277750465946,1.8477848138904789,-0.5081396003528581,-0.07973930064867503,0.20715123417620449,1.0428153264811215,-0.38575837490522985,1,3,3,2,3,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,-1.8759440525029831,-1.2198079020256165,-0.47037577087393667,-1.8902904800832991,-0.6812973924017395,1.0428153264811215,-0.38575837490522985,3,4,0,3,1,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,-0.24442277750465946,-1.8193750846493162,0.021847717991553467,-0.985014890365987,1.0955998607541484,-0.7382763373317672,-0.38575837490522985,3,2,2,2,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0.9897754223129646,1.9538751446737426,1.7166860232652998,-1.8902904800832991,1.0955998607541484,1.0428153264811215,-0.38575837490522985,3,4,4,4,2,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,-0.6417458526853592,0.46004984732157356,-1.5676072116282624,0.825536289068637,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,0,2,0,2,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.5924523471322648,1.9538751446737426,0.4163397230498368,0.825536289068637,1.0955998607541484,1.0428153264811215,-0.38575837490522985,0,4,0,4,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,-0.6417458526853592,0.8473811321743694,0.6592948498316031,-0.985014890365987,0.20715123417620449,-0.7382763373317672,2.5922962793631443,3,2,4,1,2,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,-1.8759440525029831,-0.4859969762374726,-0.07986526144213532,0.825536289068637,0.20715123417620449,-0.7382763373317672,-0.38575837490522985,1,2,0,1,3,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,-0.9663824428555255,-0.9565862535639914,-0.07586246999506681,-0.985014890365987,-1.5697460189796835,1.0428153264811215,-0.38575837490522985,3,4,4,2,3,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0.9897754223129646,0.37679185484785066,0.19702151344896596,-1.8902904800832991,0.20715123417620449,-0.7382763373317672,2.5922962793631443,0,2,0,4,2,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,-0.6417458526853592,1.6247491854101297,0.31530823302492744,-0.985014890365987,1.0955998607541484,2.8239069902940104,-0.38575837490522985,3,4,0,4,1,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,-0.6417458526853592,1.3228386784068984,0.47116804137791585,-0.985014890365987,1.0955998607541484,-0.7382763373317672,-0.38575837490522985,3,2,0,2,2,0,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1.5888883385496577,0.5412518753360608,1.3809908711268075,-0.985014890365987,-1.5697460189796835,1.0428153264811215,-0.38575837490522985,1,4,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0.5924523471322648,-0.07439609749953406,0.2272911374500307,-0.985014890365987,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,3,4,3,4,2,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1.3144120124831309,-1.0855641588611724,1.7628981093745957,0.825536289068637,-0.6812973924017395,1.0428153264811215,-0.38575837490522985,3,4,0,2,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1.8266505469498888,-0.8324766171728206,0.6909722731117003,-1.8902904800832991,-1.5697460189796835,-0.7382763373317672,-0.38575837490522985,3,1,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.5924523471322648,-0.07439609749953406,-0.07919732173782108,-0.07973930064867503,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,1,3,0,0,1,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,-1.8759440525029831,0.6978774310218471,-0.823237961470978,-0.07973930064867503,-0.6812973924017395,-0.7382763373317672,-0.38575837490522985,0,2,1,4,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,1.7117350876638306,-1.3597658343696573,-0.2337957821919487,0.825536289068637,1.0955998607541484,-0.7382763373317672,-0.38575837490522985,0,2,0,2,2,0,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
